appid,genres
2717260,"Adventure, Indie, Simulation"
627690,"Action, Adventure, Free-to-Play, Indie, Strategy"
1898830,"Casual, Design & Illustration, Utilities"
779340,"Action, Strategy"
1284210,"Adventure, Free-to-Play, MMO, RPG"
1180320,nan
235340,nan
219600,nan
976310,Action
1096900,"Design & Illustration, RPG, Software & Tools"
306130,"Action, Adventure, MMO, RPG"
359320,"Action, Adventure, MMO, RPG, Simulation, Strategy"
304390,Action
24010,Simulation
1904540,"Simulation, Sports"
1068820,Utilities
1549250,"Action, Adventure, Free-to-Play, RPG"
1506830,"Simulation, Sports"
310950,Action
841370,"Simulation, Sports"
698780,"Casual, Free-to-Play, Indie"
960090,Strategy
479130,Utilities
1938090,Action
1418630,"Action, Adventure, Indie"
784150,"Simulation, Strategy"
2399830,"Action, Adventure, Early Access, Indie, MMO, RPG"
1263850,nan
1366540,"Early Access, Indie, Simulation, Strategy"
251570,"Action, Adventure, Indie, RPG, Simulation, Strategy"
1377580,"Action, Free-to-Play, MMO, RPG"
427520,"Casual, Indie, Simulation, Strategy"
270150,"Action, Indie"
500,Action
72200,nan
690530,"Action, Early Access, Indie, RPG"
105600,"Action, Adventure, Indie, RPG"
1151340,RPG
1517290,"Action, Adventure, Casual"
471710,"Adventure, Casual, Free-to-Play, MMO"
1041320,"Free-to-Play, MMO, RPG, Strategy"
333600,"Casual, Indie"
1569040,nan
321360,"Action, Indie"
99900,"Action, Adventure, Casual, Free-to-Play, Indie, MMO, RPG"
700330,"Action, Free-to-Play"
707010,"Action, Early Access, Free-to-Play, Indie, MMO, RPG"
378120,nan
582010,Action
866510,"Adventure, Casual, Indie"
2923300,"Adventure, Casual, Free-to-Play, Simulation, Strategy"
493490,"Indie, Racing, Simulation"
624090,nan
329110,"Action, Adventure, Casual, Free-to-Play, RPG, Strategy"
985810,"Action, Casual, Free-to-Play"
1142710,"Action, Strategy"
1343400,"Free-to-Play, MMO, RPG"
300060,"Adventure, Indie"
1222670,"Adventure, Casual, Free-to-Play, Simulation"
1526490,"Casual, Free-to-Play, Indie, RPG"
629760,"Action, Indie"
548430,Action
719890,"Adventure, Early Access, Indie, MMO, Simulation"
1621690,"Adventure, Casual, Indie, RPG"
291480,"Action, Free-to-Play, MMO"
1017100,"Free-to-Play, Indie, Strategy"
1535560,"Casual, Free-to-Play, Indie, RPG, Simulation"
586140,Action
211820,"Action, Adventure, Casual, Indie, RPG"
431730,"Design & Illustration, Software & Tools"
1259970,nan
495910,"Action, Adventure, Free-to-Play, MMO, RPG"
686810,"Action, Indie, MMO, Simulation, Strategy"
2225070,Racing
1173510,"Early Access, Utilities"
4920,"Action, Indie, Strategy"
2349820,"Action, Adventure, Free-to-Play, MMO, RPG"
469600,"Casual, Indie, Strategy"
454650,"Action, Adventure, Casual, MMO"
6020,Action
391540,"Indie, RPG"
824270,"Action, Indie, Simulation"
594570,"Action, Strategy"
493080,"Indie, RPG, Strategy"
1343370,"Adventure, Free-to-Play, MMO, RPG"
428340,"Design & Illustration, Media & Production"
2962810,"Casual, Early Access, Free-to-Play, Indie, Simulation"
477160,"Adventure, Casual, Indie, Simulation"
1091500,RPG
72850,RPG
745920,"Adventure, Indie, MMO, RPG"
704450,RPG
482730,nan
2252570,"Simulation, Sports, Strategy"
8930,Strategy
805550,"Racing, Simulation, Sports"
892420,nan
1520470,"Action, Adventure, Free-to-Play, MMO, RPG, Strategy"
620980,Indie
1180380,"Action, Early Access, Free-to-Play, Indie, MMO, RPG"
646570,"Indie, Strategy"
108600,"Early Access, Indie, RPG, Simulation"
363970,"Adventure, Casual, Free-to-Play, Indie, RPG, Simulation, Strategy"
577800,"Simulation, Sports"
238430,"Action, Adventure, Indie"
454550,Design & Illustration
812140,"Action, Adventure, RPG"
2835570,"Action, Indie, Simulation"
261550,"Action, Indie, RPG, Simulation, Strategy"
253710,"Action, Adventure, Free-to-Play, Simulation, Sports"
2484110,"Adventure, RPG"
550650,"Action, Free-to-Play"
376210,"Action, Adventure, Early Access, Indie, MMO, Simulation"
