"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"POLYGON","1583470800000","","true","4234698","0","457755.1784655073","13.171637605726936","75","Indie","Redaster Studio","Redaster Studio","1241100","https://store.steampowered.com/app/1241100"
"Endless World Idle RPG","1564617600000","1575522000000","false","254044","0","436288.0207913747","127.6252058559395","78","Indie","Radiance Games","Radiance Games","840260","https://store.steampowered.com/app/840260"
"Overlewd","1690948800000","","false","36783","0","434938","59.07152536983676","49","Indie","TinyHat Studios","Supadoge","2308870","https://store.steampowered.com/app/2308870"
"Idol Party","1723680000000","","false","21475","0","429278","0","79","Indie","LONGYOU TECHNOLOGY PTE.LTD.","LONGYOU TECHNOLOGY PTE.LTD.","2955300","https://store.steampowered.com/app/2955300"
"Pirate101","1685505600000","","false","20895","0","426988","41.38288591597269","82","Indie","KingsIsle Entertainment,gamigo group","KingsIsle Entertainment","620620","https://store.steampowered.com/app/620620"
"Rumble Fighter: Unleashed","1481864400000","","false","61484","0","412311.9769059409","26.78761302231203","54","Indie","RedFox Games","NIMONIX","357500","https://store.steampowered.com/app/357500"
"War Trigger 3","1430438400000","1450760400000","false","1170689","0","408387.929322237","4.0530394441336135","60","Indie","Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC","298240","https://store.steampowered.com/app/298240"
"BlackShot: Mercenary Warfare FPS","1464667200000","","false","407856","0","403026.28906770423","0","54","Indie","Papaya Play,Vertigo Games America","Vertigo Games America","433350","https://store.steampowered.com/app/433350"
"Banana","1713844800000","","false","42691309","0","400077.6621871883","71.03322909918035","83","Indie","Sky","Sky,AestheticSpartan,O'Brian","2923300","https://store.steampowered.com/app/2923300"
"Mitos.is: The Game","1438142400000","","false","1482356","0","399974.1619681692","56.630357243460566","81","Indie","Freakinware Studios","Freakinware Studios","389570","https://store.steampowered.com/app/389570"
"Combat Arms: the Classic","1594699200000","","false","252385","0","393705.3535314763","64.89383270014619","65","Indie","VALOFE","VALOFE, NEXON","1263550","https://store.steampowered.com/app/1263550"
"1v1.LOL - Battle Royale Game","1687060800000","","false","1108820","0","389881","11.409579093684336","75","Indie","JustPlay.LOL","JustPlay.LOL","2305790","https://store.steampowered.com/app/2305790"
"Galaxy Idle Clicker","1721260800000","","true","30856","0","389788.9151653697","475.87543047955694","78","Indie","Soehnle","Soehnle","2962810","https://store.steampowered.com/app/2962810"
"ASURA","1689652800000","","true","12012","0","379443","239.9508968359069","47","Indie","GAMEINDY","Debuz","2293900","https://store.steampowered.com/app/2293900"
"Eden Eternal-聖境伝説","1683604800000","","false","37723","0","378259","94.01925592355515","53","Indie","X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd.","2229260","https://store.steampowered.com/app/2229260"
"Dirty League 🔞","1728604800000","","false","62277","0","377175","51.52587022689003","73","Indie","Flushee 💘","Flushee 💘","3017450","https://store.steampowered.com/app/3017450"
"SOVL: Fantasy Warfare","1688011200000","","false","119520","0","377069.88492714043","25.446928263074327","88","Indie","Dalen Studios","Dalen Studios","1870300","https://store.steampowered.com/app/1870300"
"Bombergrounds: Reborn","1583470800000","1665028800000","false","847701","0","371692.7706811238","13.149158435772533","86","Indie","Gigantic Duck Games","Gigantic Duck Games","1104450","https://store.steampowered.com/app/1104450"
"Revolution Idle","1728604800000","","true","219599","0","369048","149.9852973130907","83","Indie","Oni Gaming","Oni Gaming,Nu Games","2763740","https://store.steampowered.com/app/2763740"
"Zaccaria Pinball","1466049600000","true","190850","0","363821.4020412672","43.3906176846419","82","Indie","Magic Pixel Kft.","Magic Pixel Kft.","444930","https://store.steampowered.com/app/444930",""
"CATO: Buttered Cat","1725494400000","false","40360","10.99","361340","8.049122138899659","99","Indie","GCORES PUBLISHING","Team Woll","1999520","https://store.steampowered.com/app/1999520",""
"Emporea: Realms of War and Magic","1456790400000","false","87012","0","360897.4362958637","363.8380451163544","68","Indie","Pixel Federation","Pixel Federation","416450","https://store.steampowered.com/app/416450","1465358400000"
"Poker Master","1600833600000","false","233855","0","351690.04057216604","22.186602453673082","86","Indie","NGIN LIMITED","NGIN LIMITED","994910","https://store.steampowered.com/app/994910",""
"Bless Global","1677560400000","false","22983","0","349808","52.75624337525761","31","Indie","Tigon Mobile Co.,Ltd.","Tigon Mobile Co.,Ltd.","2094220","https://store.steampowered.com/app/2094220",""
"Tell Me Why","1598500800000","false","869713","0","348516.1943044285","5.421545010934504","83","AAA","Xbox Game Studios","DONTNOD Entertainment","1180660","https://store.steampowered.com/app/1180660",""
"Horizon","1372636800000","false","44502","29.99","338057","0","59","Indie","L3O Interactive","L3O Interactive","236130","https://store.steampowered.com/app/236130","1391662800000"
"Grim Clicker","1578546000000","false","294768","0","328000.3607419904","145.94879038271117","79","Indie","EvilCharm Games,Aleksandr Golovkin","EvilCharm Games","1160750","https://store.steampowered.com/app/1160750","1706590800000"
"Galaxy Control: 3D Strategy","1470801600000","false","58274","0","318829.8673588117","308.5578955829349","59","Indie","FX Games Media","FX Games Media","435440","https://store.steampowered.com/app/435440",""
"Dear Esther: Landmark Edition","1487048400000","false","81315","9.99","311883","2.3956575271189315","74","Indie","Secret Mode","The Chinese Room,Robert Briscoe","520720","https://store.steampowered.com/app/520720",""
"Pinball Arcade","1383541200000","false","354635","0","310828.6279187029","63.369817485719686","73","Indie","FarSight Studios","FarSight Studios","238260","https://store.steampowered.com/app/238260",""
"War of Tanks: Blitzkrieg","1554696000000","false","10587","0","307711.42380029534","190.497915065311","57","Indie","HQGames","HQGames,HQ Games","1002930","https://store.steampowered.com/app/1002930","1565668800000"
"Soul Guardians","1676955600000","false","12819","0","304222","252.9670563391738","68","Indie","PICTOLOGI","PICTOLOGI","2126010","https://store.steampowered.com/app/2126010",""
"Idle Big Devil","1589428800000","false","126288","0","304062.83737341233","53.76743465770295","82","Indie","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED","1158980","https://store.steampowered.com/app/1158980","1635912000000"
"Echocalypse: The Scarlet Covenant","1717732800000","false","24224","0","300784","24.145692723049397","56","Indie","Yoozoo (Singapore) Pte. Ltd","Yoozoo (Singapore) Pte. Ltd","2917030","https://store.steampowered.com/app/2917030",""
"Age of Conan: Unchained","1361509200000","false","368011","0","288833.7561279539","59.952959691428234","69","AA","Funcom","Funcom","217750","https://store.steampowered.com/app/217750",""
"航海霸業 Maritime hegemony","1664251200000","false","7287","0","284404.93689994636","135.83725748948495","73","Indie","Exotech Game","Chongqing Aoxia Technology Co., Ltd.","2082540","https://store.steampowered.com/app/2082540",""
"Star Fetchers","1579237200000","false","202284","0","279759.61136286706","1.756821365990773","97","Indie","Svavelstickan","Svavelstickan","1178030","https://store.steampowered.com/app/1178030",""
"Royal Quest Online","1734566400000","false","91285","0","273506","50.89193964402664","81","Indie","Forward Gateway","BASE","2962300","https://store.steampowered.com/app/2962300",""
"La Tale","1511931600000","false","63381","0","272646.2639100142","45.175333175248305","58","Indie","Papaya Play","Actoz Soft","721030","https://store.steampowered.com/app/721030",""
"Brave Nine","1693368000000","false","28732","0","272222","81.49356459471561","69","Indie","Valiant","Valiant","2442230","https://store.steampowered.com/app/2442230",""
"Soccer Clubs","1671426000000","false","11996","0","271845.5434806759","129.73683506452625","49","Indie","FutureGameStudio","FutureGameStudio,Beijing Crazy Sports Industry Management Co., Ltd","2187660","https://store.steampowered.com/app/2187660",""
"CRSED: Cuisine Royale","1529035200000","false","5252101","0","266439.0094529875","46.29116944554306","79","AA","Gaijin Network Ltd","Darkflow Software,Matter Team","884660","https://store.steampowered.com/app/884660",""
"Trailer Park Boys: Greasy Money","1517443200000","false","128588","0","262741.17288138904","139.60506812929262","81","Indie","East Side Games","East Side Games","735850","https://store.steampowered.com/app/735850","1524024000000"
"Idle Clans","1680840000000","true","51781","0","262126","409.18590213501705","72","Indie","Isam Games","Isam Games","2103530","https://store.steampowered.com/app/2103530",""
"Figure Adventure","1719201600000","false","33067","0","261226","30.333438544055774","87","Indie","Figure Fantasy","Figure Fantasy","2996570","https://store.steampowered.com/app/2996570",""
"Plasma","1680148800000","false","43149","0","260129","10.584334112931296","89","Indie","Dry Licorice","Dry Cactus,Licorice ehf","1409160","https://store.steampowered.com/app/1409160","1694577600000"
"Urban Rivals","1508299200000","false","87982","0","256990.91354280646","33.69413804509024","66","Indie","Acute Games","Acute Games","715310","https://store.steampowered.com/app/715310",""
"Dreamland","1667188800000","true","163192","0","251759.0606484049","3.8823644651527873","79","Indie","Dokiden","Dokiden","2176560","https://store.steampowered.com/app/2176560",""
"SoulSaverOnline","1491364800000","false","24255","0","251045.9085635019","236.40236254265403","66","Indie","Netgame","Smartbig Corportion","542590","https://store.steampowered.com/app/542590",""
"Warhammer Combat Cards","1622692800000","false","22408","0","250282.45519217686","71.68632878092652","59","Indie","The Phoenix Lighthouse GmbH","Well Played Games","1641990","https://store.steampowered.com/app/1641990",""
"冒险小分队-二次元.策略.卡牌.游戏","1725235200000","false","29008","0","246422","28.187150602005264","94","Indie","龙游工作室","龙游工作室","3164300","https://store.steampowered.com/app/3164300",""
"Infinite Borders","1703221200000","false","13705","0","246172","34.642974273119776","32","AA","NetEase Games","NetEase Games","2516570","https://store.steampowered.com/app/2516570",""
"Fractured Online","1663214400000","false","39778","0","240724.04933045656","63.64929374277167","57","Indie","Dynamight Studios","Dynamight Studios","1426050","https://store.steampowered.com/app/1426050","1721779200000"
"Pro 11 - Football Manager Game","1581570000000","false","27587","0","239494.87863623266","69.49258343375158","75","Indie","Trophy Games ApS","Trophy Games ApS","844960","https://store.steampowered.com/app/844960",""
"Skill Legends Royale","1730678400000","false","89216","0","235901","68.72497753695626","81","Indie","ZGGame","ZGGame","3114410","https://store.steampowered.com/app/3114410",""
"The Eminence in Shadow: Master of Garden","1724803200000","false","10054","0","231141","28.47220146183434","74","Indie","Aiming Inc.,Crunchyroll, LLC","Team CARAVAN","2776900","https://store.steampowered.com/app/2776900",""
"Pinball M","1701320400000","false","39066","0","226818","12.352206935112928","80","Indie","Zen Studios","Zen Studios","2337640","https://store.steampowered.com/app/2337640",""
"HAWKED","1701320400000","false","247753","0","226698","11.00155833082314","57","Indie","MY.GAMES,The 4 Winds Entertainment (MENA and Turkey)","MY.GAMES","1955960","https://store.steampowered.com/app/1955960","1707973200000"
"捕鱼炸翻天","1603684800000","false","3857","0","220896.02571296066","45.47148397116149","36","Indie","上海姚际信息科技有限公司","上海愉游网络科技有限公司","1417940","https://store.steampowered.com/app/1417940",""
"Phobies","1646629200000","false","74986","0","219356.52765222025","68.67203388847679","87","Indie","Phobies Holdings Inc.,Yodo1","Smoking Gun Interactive Inc.","1254130","https://store.steampowered.com/app/1254130",""
"Bloons Monkey City","1586491200000","false","559339","0","216651.78711247028","41.03998660303631","91","Indie","Ninja Kiwi","Ninja Kiwi","1252780","https://store.steampowered.com/app/1252780",""
"Your Chronicle","1617508800000","false","261484","0","216363.23927406684","212.9171931802754","80","Indie","Samurai Games","Samurai Games","1546320","https://store.steampowered.com/app/1546320",""
"Kingdom Heroes M","1685419200000","false","34082","0","215581","60.199606534044094","67","Indie","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd.","2321430","https://store.steampowered.com/app/2321430",""
"鋼鉄戦記C21","1602648000000","false","8555","0","214784.24034237396","51.831957635740736","66","Indie","CyberStep, Inc.","CyberStep, Inc.","1266560","https://store.steampowered.com/app/1266560",""
"Force of Warships: Battleship Games","1660017600000","false","26082","0","212383.4163930553","71.62691516928636","72","Indie","XDEVS LTD","XDEVS LTD","1991860","https://store.steampowered.com/app/1991860",""
"Antimatter Dimensions","1671253200000","false","170669","0","211126.6025688687","362.96305914618114","92","Indie","Hevipelle,Makopaz","Hevipelle,Omsi,Razenpok,Spectralflame,WaitingIdly","1399720","https://store.steampowered.com/app/1399720",""
"King of Crabs","1593748800000","false","1175540","0","208151.89111015399","13.293357306125019","79","Indie","Robot Squid","Robot Squid,Spilt Milk Studios Ltd","1273710","https://store.steampowered.com/app/1273710","1695614400000"
"Monster Girl2","1674018000000","false","65960","0","207091.84298511583","11.274207063345095","83","Indie","DMgames","DMgames","2158500","https://store.steampowered.com/app/2158500",""
"Spellstone","1479099600000","false","50516","0","206830.09623464485","27.18054032595029","64","Indie","Kongregate","Synapse Games","452230","https://store.steampowered.com/app/452230",""
"Atlantica Europe","1621483200000","false","14328","0","205353.878866048","359.98467341292644","65","Indie","VALOFE","VALOFE,NEXON","1563940","https://store.steampowered.com/app/1563940",""
"江湖客栈-The Jianghu","1687665600000","false","85991","0","205131","189.03687251300883","57","Indie","Path","『風林火山』工作室","1881610","https://store.steampowered.com/app/1881610","1725062400000"
"Reign of Guilds","1712203200000","true","22494","0","204060","68.35530156275986","64","Indie","Atlant Games ltd","Atlant Games ltd","716350","https://store.steampowered.com/app/716350",""
"League of Angels: Pact","1687233600000","false","5952","0","203920.678480984","78.33584528295513","47","Indie","Game Hollywood Games","Game Hollywood Games","1477460","https://store.steampowered.com/app/1477460",""
"TwelveSky 2 Classic","1485493200000","false","22367","0","202656.83494628163","23.79370331169604","68","Indie","RedFox Games","SG Data","539650","https://store.steampowered.com/app/539650",""
"Tanki Online","1488430800000","false","585317","0","196031.60997822552","6.6226625559481915","62","Indie","APL Publishing Ltd.","Alternativa Game Ltd.","562010","https://store.steampowered.com/app/562010",""
"Crusaders of the Lost Idols","1444708800000","false","369040","0","193105.95741658914","489.54366532097833","83","Indie","Codename Entertainment Inc.","Codename Entertainment Inc.","402840","https://store.steampowered.com/app/402840",""
"Blackjack Championship","1598328000000","false","572704","0","189876.02064248142","16.068729784038407","66","Indie","BBstudio Inc.","BBstudio Inc.","1178160","https://store.steampowered.com/app/1178160",""
"GranAge","1605070800000","false","60844","0","189207.96127123424","76.10656389604809","74","Indie","PICTOLOGI","PICTOLOGI","1412470","https://store.steampowered.com/app/1412470","1609218000000"
"Zold:out","1669698000000","false","21760","0","182843.8321164835","27.584815757153063","71","Indie","C4cat Entertainment limited","C4cat Entertainment limited","2057770","https://store.steampowered.com/app/2057770","1697774400000"
"Braveland Heroes","1546491600000","false","59261","0","182797.38231248714","154.7249452771841","55","Indie","Tortuga Team","Tortuga Team","931650","https://store.steampowered.com/app/931650","1568606400000"
"DPS IDLE","1599105600000","false","82000","0","180207.11105795813","162.18678208384662","63","Indie","YDKR","YDKR,Semenov Iurii,Aleksandr Golovkin","1349540","https://store.steampowered.com/app/1349540","1629518400000"
"CasinoRPG","1516078800000","false","35505","0","176533.4191949661","93.2605488433315","62","Indie","GoldFire Studios","GoldFire Studios","658970","https://store.steampowered.com/app/658970",""
"Villagers and Heroes","1397707200000","false","519830","0","174800.11464951027","7.552123020826777","61","Indie","Mad Otter Games","Mad Otter Games","263540","https://store.steampowered.com/app/263540",""
"Duelyst II","1671166800000","false","144767","0","170929.6206418266","35.65422071151694","75","Indie","Dream Sloth Games","Dream Sloth Games","2004320","https://store.steampowered.com/app/2004320",""
