friend_id,Abfragestatus,Daten vorhanden
76561198809126687,Keine Spiele,
76561197993179686,Keine Spiele,
76561197993623772,Keine Spiele,
76561197997948009,Ja,"Counter-Strike 2,Rust,Counter-Strike: Source,Insurgency"
76561198014135011,Ja,Counter-Strike 2
76561198017128079,Ja,"Counter-Strike 2,Counter-Strike: Source,Insurgency"
76561198018950249,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198022706151,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198041680221,Keine Spiele,
76561198056146420,Keine Spiele,
76561198058461227,Ja,"Counter-Strike 2,Rust"
76561198093845585,Ja,
76561198095233826,Ja,
76561198113798980,Keine Spiele,
76561198116340941,Keine Spiele,
76561198120911925,Keine Spiele,
76561198126256235,Ja,Counter-Strike 2
76561198126573397,Keine Spiele,
76561198127116312,Ja,Counter-Strike 2
76561198127214325,Ja,Counter-Strike 2
76561198129355560,Ja,Counter-Strike 2
76561198139170026,Ja,"Counter-Strike 2,Insurgency"
76561198140660980,Ja,
76561198146800004,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198148955343,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198161542247,Ja,Counter-Strike 2
76561198170317010,Ja,"Counter-Strike 2,Rust"
76561198191884686,Ja,Counter-Strike 2
76561198192094469,Keine Spiele,
76561198192674723,Ja,Counter-Strike 2
76561198193829333,Keine Spiele,
76561198194308813,Ja,Counter-Strike 2
76561198205920945,Keine Spiele,
76561198219834645,Ja,Counter-Strike 2
76561198239578846,Ja,Counter-Strike 2
76561198244615360,Ja,
76561198254015365,Ja,Counter-Strike 2
76561198259016515,Ja,Counter-Strike 2
76561198259609386,Ja,"Counter-Strike 2,Rust"
76561198262636655,Ja,"Counter-Strike 2,Rust,Raft"
76561198263041406,Keine Spiele,
76561198267759320,Keine Spiele,
76561198272220549,Ja,Counter-Strike 2
76561198273359705,Ja,Counter-Strike 2
76561198275415817,Ja,"Counter-Strike 2,Rust,Counter-Strike: Source"
76561198275618236,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198279296060,Keine Spiele,
76561198282828119,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198284705574,Ja,
76561198290452429,Keine Spiele,
76561198309499094,Ja,Counter-Strike 2
76561198313315780,Ja,"Rust,Counter-Strike 2"
76561198316238005,Ja,"Counter-Strike 2,Rust"
76561198322479063,Keine Spiele,
76561198332552319,Ja,Counter-Strike 2
76561198337069169,Ja,Counter-Strike 2
76561198340086148,Keine Spiele,
76561198341209579,Keine Spiele,
76561198346134110,Keine Spiele,
76561198349855763,Ja,Counter-Strike 2
76561198353594028,Keine Spiele,
76561198353690784,Ja,"Counter-Strike 2,Raft,Rust"
76561198355401530,Ja,Counter-Strike 2
76561198355524362,Ja,DayZ
76561198355751500,Ja,
76561198355953823,Keine Spiele,
76561198357258925,Ja,"Counter-Strike 2,Rust"
76561198363200073,Ja,"Counter-Strike 2,Rust,Raft"
76561198363735767,Ja,
76561198371905026,Keine Spiele,
76561198375134617,Ja,Counter-Strike 2
76561198376600325,Keine Spiele,
76561198379982432,Keine Spiele,
76561198380889484,Keine Spiele,
76561198382805731,Keine Spiele,
76561198383008801,Keine Spiele,
76561198386991472,Ja,Counter-Strike 2
76561198397226641,Keine Spiele,
76561198398513840,Keine Spiele,
76561198398980702,Keine Spiele,
76561198401398937,Ja,"Counter-Strike 2,Rust"
76561198405663200,Ja,
76561198419504765,Ja,"Counter-Strike 2,Raft"
76561198432849409,Keine Spiele,
76561198433120283,Ja,Counter-Strike 2
76561198446986529,Ja,"Counter-Strike 2,Rust"
76561198456888449,Ja,Counter-Strike 2
76561198795791063,Keine Spiele,
76561198798827796,Ja,Counter-Strike 2
76561198809101293,Keine Spiele,
76561198809830488,Ja,Counter-Strike 2
76561198816135972,Ja,Counter-Strike 2
76561198822610236,Ja,
76561198828718600,Keine Spiele,
76561198829233773,Keine Spiele,
76561198831098374,Ja,Counter-Strike 2
76561198833875847,Ja,Counter-Strike 2
76561198836048031,Ja,"Counter-Strike 2,Rust"
76561198837809598,Ja,Counter-Strike 2
76561198840035997,Ja,Counter-Strike 2
76561198847826435,Ja,Counter-Strike 2
76561198849473799,Ja,Counter-Strike 2
76561198851836272,Ja,"Counter-Strike 2,Rust"
76561198858473086,Ja,Counter-Strike 2
76561198859968581,Ja,Counter-Strike 2
76561198866436395,Ja,Counter-Strike 2
76561198872213632,Ja,"Counter-Strike 2,Raft"
76561198873986144,Ja,Counter-Strike 2
76561198877101160,Keine Spiele,
76561198881506382,Keine Spiele,
76561198888665867,Ja,"Counter-Strike 2,Rust,Counter-Strike: Source"
