steam_id,stat_build_foundationCount,stat_build_paintCount,stat_build_removeCount,stat_player_anglerFishKills,stat_player_bearKills,stat_player_birdKills,stat_player_boarKills,stat_player_botKills,stat_player_capturedAnimals,stat_player_captures_bee,stat_player_deaths,stat_player_excevations_treasure,stat_player_fireworks_launched,stat_player_hookCount,stat_player_instrumentNotes_played,stat_player_pufferKills,stat_player_ratKills,stat_player_sharkKills,stat_player_stoneBirdKills,stat_player_token_spend_tangaroa,stat_player_zipline_distance,stat_player_zipline_distanceOneGo,stat_shark_bitePlayer,stat_test_2,stat_test_3,stat_test_4,stat_test_5
76561198031090107,322.0,,465.0,2.0,4.0,16.0,6.0,7.0,2.0,,5.0,,,80.0,24.0,2.0,32.0,23.0,,,52.0,39.0,,1.0,1.0,,
76561198031696957,5.0,,2.0,,,4.0,4.0,,,,12.0,,,181.0,,,17.0,12.0,1.0,,,,,,,,
76561198032515419,182.0,,251.0,5.0,9.0,36.0,7.0,9.0,1.0,4.0,20.0,,,583.0,122.0,6.0,23.0,15.0,1.0,37.0,557.0,87.0,,1.0,1.0,1.0,1.0
76561198032709139,33.0,,2.0,,12.0,37.0,2.0,,,,1.0,,,584.0,,,22.0,8.0,,,,,,,,,
76561198033168693,152.0,28.0,165.0,,15.0,17.0,4.0,,,,5.0,,,921.0,,2.0,10.0,16.0,1.0,,,,,,,,
76561198033233346,31.0,,2.0,,,1.0,,,,,4.0,,,278.0,,,,1.0,,,,,,,,,
76561198033251451,35.0,,1.0,,,,1.0,,,,3.0,,,309.0,,,,5.0,,,,,,,,,
76561198034800172,49.0,,52.0,,,6.0,6.0,,,,10.0,,,188.0,,1.0,,6.0,,,,,,1.0,,,
76561198035203830,7.0,,1.0,,,,,,,,2.0,,,94.0,,,,,,,,,,,,,
76561198035371371,53.0,,1.0,,,,,,,,23.0,,,29.0,,,,1.0,,,,,,,,,
76561198037792004,473.0,919.0,291.0,7.0,39.0,78.0,14.0,11.0,16.0,33.0,31.0,32.0,,402.0,730.0,39.0,41.0,85.0,7.0,36.0,756.0,77.0,,1.0,1.0,1.0,1.0
76561198038187249,411.0,3062.0,4624.0,22.0,62.0,66.0,49.0,31.0,14.0,50.0,40.0,191.0,76.0,2388.0,737.0,79.0,87.0,50.0,10.0,147.0,1744.0,87.0,,1.0,,1.0,1.0
76561198040762631,39.0,,53.0,,6.0,30.0,2.0,14.0,2.0,6.0,6.0,,30.0,545.0,1024.0,5.0,26.0,52.0,2.0,59.0,219.0,32.0,,1.0,1.0,1.0,
76561198040965034,348.0,,175.0,,14.0,9.0,2.0,,4.0,7.0,17.0,,,3276.0,,6.0,29.0,43.0,1.0,,,,53.0,,,,
76561198041560069,121.0,,92.0,5.0,9.0,21.0,10.0,9.0,,3.0,14.0,,,41.0,,4.0,32.0,25.0,2.0,8.0,264.0,70.0,,1.0,1.0,1.0,
76561198043848129,11.0,,3.0,,,,3.0,,,,4.0,,,405.0,,,,4.0,,,,,,,,,
76561198044170299,61.0,,3.0,,,,,,,,2.0,,,212.0,,,,2.0,,,,,,,,,
76561198045103884,17.0,,1.0,,,,1.0,,,,5.0,,,207.0,,,,1.0,,,,,,,,,
76561198045118972,126.0,,49.0,,,6.0,,,,,3.0,,,448.0,,,,4.0,,,,,17.0,,,,
76561198045591957,139.0,,5.0,,,,1.0,,,,13.0,,,792.0,,,,2.0,,,,,,,,,
76561198045759901,90.0,,5.0,,8.0,,1.0,,,,,,,102.0,,,,4.0,,,,,3.0,,,,
76561198046378722,45.0,,4.0,,,14.0,4.0,,,,4.0,,,257.0,,2.0,,15.0,,,,,,1.0,,,
76561198046418875,16.0,,,,,,,,,,,,,119.0,,,,,,,,,,,,,
76561198046428642,3.0,,1.0,,,1.0,,,,,1.0,,,42.0,,,,2.0,,,,,,,,,
76561198047063598,31.0,,,,,2.0,,,,,2.0,,,168.0,,,2.0,1.0,,,,,,,,,
76561198047356811,228.0,504.0,276.0,5.0,30.0,38.0,13.0,34.0,7.0,29.0,20.0,45.0,50.0,1253.0,440.0,14.0,22.0,32.0,2.0,16.0,3263.0,89.0,,1.0,1.0,1.0,1.0
76561198048579945,877.0,1012.0,773.0,8.0,81.0,225.0,40.0,27.0,50.0,27.0,26.0,130.0,55.0,5266.0,417.0,134.0,83.0,158.0,34.0,63.0,2326.0,85.0,,1.0,1.0,1.0,1.0
76561198048704435,807.0,,640.0,,10.0,28.0,11.0,,5.0,11.0,9.0,,,1034.0,,18.0,12.0,42.0,4.0,,,,,1.0,1.0,,
76561198049449033,8.0,49.0,9.0,,9.0,12.0,3.0,,,9.0,9.0,,,635.0,,,27.0,19.0,1.0,,,,,,,,
76561198050886522,1114.0,889.0,1723.0,8.0,24.0,13.0,12.0,24.0,8.0,11.0,,1.0,113.0,106.0,258.0,2.0,30.0,48.0,3.0,50.0,498.0,70.0,,1.0,1.0,1.0,1.0
76561198051126234,4.0,229.0,3.0,,,8.0,,,,,38.0,,,558.0,,,,5.0,,,,,,,,,
76561198051194916,251.0,,308.0,8.0,5.0,68.0,8.0,13.0,3.0,12.0,7.0,6.0,,607.0,,12.0,31.0,38.0,,15.0,475.0,87.0,,1.0,1.0,1.0,1.0
76561198051439872,508.0,,123.0,,12.0,105.0,6.0,27.0,,12.0,21.0,6.0,,1351.0,,3.0,31.0,40.0,2.0,28.0,261.0,36.0,32.0,,,,
76561198053309995,1.0,,,,,,2.0,,,,6.0,,,470.0,,,,3.0,,,,,,,,,
76561198053711260,305.0,,266.0,6.0,18.0,14.0,11.0,7.0,3.0,10.0,10.0,4.0,,538.0,,6.0,30.0,21.0,6.0,19.0,597.0,72.0,,1.0,1.0,1.0,1.0
76561198054173924,833.0,,650.0,,13.0,46.0,8.0,,17.0,,3.0,,,637.0,,8.0,38.0,75.0,2.0,,,,44.0,,,,
76561198054780300,44.0,80.0,73.0,7.0,17.0,29.0,,13.0,2.0,9.0,4.0,5.0,,347.0,,8.0,23.0,22.0,1.0,41.0,462.0,78.0,18.0,1.0,1.0,1.0,1.0
76561198055068529,,,,,,1.0,,,,,1.0,,,,,,,5.0,,,,,34.0,,,,
76561198055134254,29.0,,12.0,,,,,,,,7.0,,,43.0,,,,,,,,,,,,,
76561198055657605,31.0,,,,,,,,,,,,,92.0,,,,,,,,,,,,,
76561198055661033,,,2.0,,,,,,,,,,,1.0,221.0,,,,,,178.0,84.0,,,,,
76561198056209818,15.0,155.0,320.0,7.0,29.0,74.0,11.0,11.0,5.0,29.0,24.0,16.0,,557.0,286.0,4.0,43.0,53.0,4.0,24.0,167.0,78.0,,1.0,1.0,1.0,
76561198056889092,15.0,,7.0,,14.0,24.0,5.0,,3.0,11.0,3.0,8.0,,495.0,,,15.0,20.0,1.0,,,,,1.0,1.0,,
76561198056938189,501.0,,117.0,,,1.0,7.0,,,,9.0,,,1273.0,,1.0,,10.0,,,,,15.0,,,,
76561198057186747,12.0,,10.0,,,1.0,,,,,1.0,,,97.0,,,,4.0,,,,,,,,,
76561198057320056,5.0,,210.0,,11.0,,3.0,9.0,,7.0,3.0,5.0,,409.0,,2.0,29.0,21.0,3.0,21.0,422.0,39.0,,,,,
76561198057951570,,,17.0,,,4.0,,,,,11.0,,,269.0,,,,5.0,,,,,,,,,
76561198058375778,,,48.0,,8.0,29.0,4.0,,1.0,13.0,10.0,1.0,,191.0,,3.0,7.0,18.0,1.0,,144.0,28.0,,1.0,1.0,,
76561198058384568,122.0,,200.0,8.0,10.0,,9.0,20.0,1.0,,11.0,,,1397.0,,11.0,34.0,28.0,3.0,22.0,506.0,79.0,,1.0,1.0,1.0,1.0
76561198058629276,40.0,,1.0,,,1.0,,,,,,,,135.0,,,,2.0,,,,,,,,,
76561198058840971,122.0,135.0,274.0,,9.0,22.0,7.0,17.0,1.0,5.0,2.0,,10.0,632.0,92.0,3.0,32.0,14.0,,15.0,239.0,41.0,,1.0,1.0,1.0,
76561198060014438,3205.0,1999.0,3931.0,9.0,27.0,72.0,22.0,20.0,32.0,23.0,5.0,17.0,126.0,636.0,610.0,19.0,43.0,76.0,13.0,33.0,1566.0,98.0,,1.0,1.0,1.0,1.0
76561198060336610,540.0,625.0,297.0,,,8.0,4.0,,10.0,,6.0,,,240.0,,6.0,,42.0,3.0,,,,,,,,
76561198060617202,35.0,,2.0,,,5.0,,,,,,,,242.0,,,,3.0,,,,,,,,,
76561198060842438,1296.0,1000.0,249.0,10.0,50.0,50.0,52.0,20.0,50.0,25.0,30.0,50.0,,5450.0,,50.0,61.0,52.0,50.0,,1500.0,,,,,,
76561198061803433,443.0,,490.0,8.0,26.0,5.0,11.0,8.0,6.0,12.0,21.0,17.0,,924.0,33.0,15.0,28.0,78.0,7.0,24.0,512.0,81.0,,1.0,1.0,1.0,1.0
76561198061981127,69.0,,29.0,,,,3.0,,,,2.0,,,268.0,,,,3.0,,,,,,,,,
76561198062203046,174.0,,53.0,2.0,13.0,,1.0,9.0,1.0,7.0,2.0,,,432.0,23.0,3.0,31.0,32.0,1.0,8.0,275.0,36.0,,,,,
76561198063243199,43.0,272.0,41.0,,12.0,25.0,2.0,13.0,3.0,15.0,20.0,7.0,9.0,755.0,139.0,11.0,27.0,38.0,1.0,14.0,138.0,29.0,,,,,
