steam_id,BIOFUEL_STAT,COWS_STAT,CRAFTING_OPENED,CROPS_HARVESTED_STAT,CROPS_WATERED_STAT,CUPBOARD_OPENED,GIANT_CUCUMBER_STAT,GIANT_GOLDEN_PUMPKIN_STAT,GIANT_PUMPKIN_STAT,GIANT_TOMATO_STAT,INVENTORY_OPENED,ITEM_EXAMINED,InstrumentFullKeyboardMode,InstrumentNotesPlayed,InstrumentNotesPlayedBinds,MAP_OPENED,ORE_HIT,PIGS_STAT,POOP_COLLECTED_STAT,SPARE_PARTS_STAT,TREE_HIT,_SPENT_ON_DECOR_STAT,acquired_lowgradefuel,acquired_metal.ore,acquired_scrap,arrow_fired,arrow_hit_bear,arrow_hit_boar,arrow_hit_building,arrow_hit_chicken,arrow_hit_entity,arrow_hit_horse,arrow_hit_player,arrow_hit_stag,arrow_hit_wolf,arrows_shot,bags_unclaimed,blueprint_studied,bullet_fired,bullet_hit_bear,bullet_hit_boar,bullet_hit_building,bullet_hit_corpse,bullet_hit_entity,bullet_hit_horse,bullet_hit_player,bullet_hit_playercorpse,bullet_hit_sign,bullet_hit_stag,bullet_hit_wolf,calories_consumed,cargoship_bridge_visits,cars_shredded,caught_anchovy,caught_catfish,caught_herring,caught_orange_roughy,caught_salmon,caught_sardine,caught_small_shark,caught_small_trout,caught_yellow_perch,cold_exposure_duration,comfort_duration,death_bear,death_entity,death_fall,death_selfinflicted,death_suicide,death_wolf,deaths,destroyed_barrels,dweller_kills_while_moving,excavator_activated,gesture_wave_count,grenades_thrown,harvest.bone_fragments,harvest.cloth,harvest.fat_animal,harvest.humanmeat_raw,harvest.metal_ore,harvest.skull_human,harvest.skull_wolf,harvest.stones,harvest.sulfur_ore,harvest.wolfmeat_raw,harvest.wood,harvested_cloth,harvested_leather,harvested_stones,harvested_wood,headshot,helipad_landings,horse_distance_ridden,horse_distance_ridden_km,hoses_connected,hot_exposure_duration,item_drop,kayak_distance_travelled,kill_bear,kill_boar,kill_chicken,kill_horse,kill_player,kill_scientist,kill_stag,kill_wolf,melee_strikes,melee_thrown,missions_completed,mlrs_kills,pickup_category_food,pipes_connected,placed_blocks,radiation_exposure_duration,recycled_cans,rocket_fired,seconds_speaking,shark_speargun_kills,shotgun_fired,shotgun_hit_building,shotgun_hit_entity,shotgun_hit_horse,shotgun_hit_player,tincanalarms_wired,topology_road_duration,upgraded_blocks,water_consumed,waved_at_players,wires_connected,won_hand_texas_holdem,wounded,wounded_assisted,wounded_healed
76561198068790585,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,18.0,7.0,19.0,1.0,76.0,4.0,8.0,5.0,,,,32.0,228.0,15.0,4.0,58.0,8.0,57.0,1.0,23.0,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,3.0,8.0,,,28.0,4.0,66.0,,,,,,,553.0,,,,,,84508.0,,,82390.0,,,,,18.0,,,,,,620.0,,4.0,10.0,1.0,4.0,19.0,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,31.0,3.0,
76561198069360517,,,18435.0,,,20895.0,,,,,322046.0,303.0,7.0,5789.0,1207.0,129384.0,7415.0,,,,6029.0,,79648.0,1660768.0,67108.0,17455.0,840.0,578.0,2119.0,6.0,1787.0,210.0,2590.0,312.0,271.0,9449.0,1.0,2108.0,70554.0,672.0,69.0,7789.0,55.0,20548.0,49.0,12100.0,506.0,63.0,33.0,168.0,947503.875,6.0,,,,,,,1.0,,,,1040581.75,724523.25,39.0,148.0,19.0,9.0,617.0,25.0,3500.0,20962.0,7.0,,96.0,96.0,10390.0,50608.0,4183.0,178.0,27006.0,30.0,15.0,705151.0,60492.0,1136.0,1464738.0,59145.0,18193.0,1900652.0,1448189.0,5134.0,2.0,88250.0,71.0,,108831.0546875,26028.0,,167.0,296.0,38.0,112.0,3184.0,430.0,174.0,152.0,217796.0,915.0,,,6716.0,,12605.0,13232.2529296875,57.0,,9527.166015625,,6072.0,1008.0,567.0,1.0,996.0,10.0,115630.0,10012.0,239581.21875,14.0,,,2160.0,251.0,288.0
76561198069391862,,,22.0,,,,,,,,243.0,3.0,,,,80.0,,,,,,,43.0,1481.0,34.0,9.0,,2.0,,,,3.0,,1.0,,,,21.0,20.0,,1.0,,,1.0,,4.0,,,,,1149.960205078125,,,,,,,,,,,,110.83633422851562,738.4964599609375,1.0,,,,,1.0,10.0,18.0,,,,,,537.0,,,,,,7464.0,,,13480.0,,,,1125.0,3.0,,,,,,45.0,,,3.0,,1.0,1.0,,1.0,,648.0,2.0,,,,,28.0,6.44873046875,,,,,,,,,,,60.0,31.0,415.47467041015625,,,,8.0,,
76561198070184173,,,920.0,,,1006.0,,,,,24477.0,5.0,1.0,16137.0,3964.0,6629.0,,,,,,,3428.0,12636.0,4275.0,189.0,14.0,9.0,1.0,3.0,4.0,,38.0,1.0,,132.0,,83.0,2182.0,284.0,46.0,86.0,22.0,221.0,,432.0,29.0,1.0,71.0,58.0,42257.765625,,,,,2.0,,,2.0,,1.0,,19599.576171875,61013.35546875,1.0,8.0,,,17.0,,59.0,1136.0,,,,,,,,,,,,,,,,20.0,,357.0,2047.0,137.0,1.0,208461.0,203.0,,1270.195556640625,709.0,472.0,23.0,15.0,14.0,,113.0,45.0,12.0,14.0,6965.0,34.0,2.0,,50.0,,605.0,788.8714599609375,2.0,,3103.784912109375,,568.0,2.0,237.0,,101.0,,19460.0,275.0,12892.751953125,,,,31.0,4.0,7.0
76561198070185454,,,6935.0,,,7547.0,,,,,96959.0,162.0,2.0,2240.0,,20679.0,4130.0,,,,2528.0,,14893.0,449299.0,22773.0,1540.0,87.0,50.0,171.0,1.0,232.0,,277.0,,29.0,1379.0,,487.0,8791.0,221.0,31.0,595.0,17.0,1069.0,,2131.0,78.0,,15.0,18.0,172376.421875,1.0,,,,,,,,,,,137874.984375,172173.0625,4.0,24.0,8.0,4.0,66.0,4.0,352.0,2582.0,12.0,,2.0,90.0,,,,,,,,,,,,1817.0,646.0,90433.0,113258.0,856.0,,67710.0,55.0,,8665.1142578125,4646.0,,25.0,19.0,3.0,,430.0,70.0,4.0,10.0,45011.0,99.0,,,36.0,,11866.0,1883.98828125,54.0,,3444.587890625,,752.0,106.0,39.0,,234.0,,8430.0,8272.0,47013.77734375,,15.0,,226.0,19.0,25.0
76561198070222708,,,96.0,,,,,,,,129.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,15.0,,,,,,2125.0,,,2775.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
76561198070354664,,,13559.0,,,15289.0,,,,,285529.0,80.0,,9760.0,35.0,53368.0,1364.0,,,,1417.0,,98965.0,915459.0,42449.0,1386.0,31.0,29.0,138.0,3.0,139.0,14.0,255.0,41.0,23.0,1089.0,,385.0,28166.0,171.0,62.0,4110.0,39.0,5249.0,14.0,4575.0,267.0,15.0,38.0,63.0,487798.3125,8.0,,,,,,,,,,,470918.8125,615996.0,7.0,64.0,8.0,4.0,272.0,6.0,1211.0,2463.0,,,6.0,15.0,598.0,7516.0,474.0,126.0,76.0,,,27202.0,288.0,184.0,51331.0,9019.0,4415.0,342276.0,474258.0,1113.0,4.0,14023.0,10.0,,14345.337890625,8962.0,,34.0,60.0,11.0,8.0,699.0,103.0,21.0,11.0,56888.0,554.0,,,1287.0,8.0,6298.0,1984.484130859375,,,2599.279296875,,2056.0,324.0,226.0,,560.0,,25370.0,6913.0,131603.9375,,,,698.0,83.0,110.0
76561198070490334,,,1566.0,,,2149.0,,,,,24588.0,15.0,1.0,222.0,94.0,3007.0,1237.0,,,,1592.0,,5596.0,175904.0,4417.0,2525.0,72.0,107.0,387.0,12.0,624.0,28.0,336.0,38.0,55.0,1096.0,,553.0,16683.0,330.0,123.0,2511.0,103.0,3482.0,14.0,3119.0,243.0,20.0,39.0,116.0,62491.1875,,,,,,,,,,,,19508.837890625,72080.0546875,29.0,49.0,18.0,7.0,130.0,22.0,786.0,1522.0,,,4.0,17.0,,6469.0,,,,,,161492.0,,,438920.0,883.0,558.0,82278.0,83516.0,1221.0,,18473.0,18.0,,3229.38037109375,4862.0,,33.0,66.0,33.0,13.0,575.0,91.0,45.0,35.0,40129.0,43.0,,,149.0,,2160.0,1486.773681640625,20.0,,1848.45703125,,3569.0,548.0,1129.0,7.0,246.0,,4675.0,1828.0,21680.150390625,,,,408.0,42.0,76.0
76561198070507340,,,88.0,,,4.0,,,,,363.0,,,,,327.0,,,,,,,23.0,3553.0,66.0,,,,,,,,,,,,,3.0,,,2.0,1.0,,,,6.0,,,,,2352.3837890625,,,,,,,,,,,,668.321044921875,400.725341796875,1.0,1.0,,,1.0,1.0,7.0,36.0,,,,,,445.0,,,,,,3322.0,,,1205.0,,,,,22.0,,,,,,53.0,,,,,,5.0,,,,2016.0,17.0,,,,,,259.90631103515625,,,4.703737735748291,,,,,,,,25.0,,952.6651611328125,,,,6.0,1.0,3.0
76561198070587634,,,474.0,,,424.0,,,,,5615.0,6.0,,,,1863.0,,,,,,,4201.0,25852.0,6487.0,314.0,9.0,16.0,21.0,1.0,70.0,11.0,61.0,12.0,8.0,171.0,,232.0,1984.0,58.0,14.0,117.0,28.0,201.0,5.0,523.0,19.0,1.0,8.0,14.0,24630.470703125,1.0,,,,,,,,,,,5426.119140625,15995.40625,4.0,19.0,3.0,2.0,15.0,8.0,115.0,556.0,,,1.0,28.0,,740.0,,,,,,72875.0,,,65486.0,499.0,149.0,19777.0,45314.0,197.0,,7898.0,7.0,,4307.74755859375,678.0,,9.0,17.0,2.0,8.0,96.0,68.0,14.0,9.0,8161.0,45.0,,,11.0,,206.0,127.642333984375,,,1155.1041259765625,,86.0,,1.0,,1.0,,1830.0,203.0,8126.76123046875,,,,74.0,10.0,8.0
76561198070704900,,,5382.0,,,4756.0,,,,,131394.0,63.0,1.0,4507.0,231.0,20364.0,,,,,,,32521.0,808503.0,12918.0,2523.0,161.0,174.0,311.0,11.0,197.0,35.0,289.0,30.0,67.0,3384.0,,333.0,11112.0,393.0,74.0,1765.0,17.0,4387.0,10.0,794.0,74.0,2.0,18.0,32.0,205007.75,,,,,,,,,,,,247749.078125,155324.96875,8.0,76.0,4.0,3.0,102.0,7.0,473.0,5729.0,,,,15.0,,7921.0,,,,,,46917.0,,,221041.0,6331.0,4054.0,506835.0,723311.0,656.0,,37957.0,29.0,,9610.5498046875,5210.0,,35.0,33.0,21.0,,391.0,136.0,14.0,19.0,92747.0,245.0,,,644.0,,8630.0,1333.9637451171875,11.0,,843.5049438476562,,1119.0,256.0,440.0,,159.0,,18440.0,7482.0,60102.27734375,,,,240.0,16.0,19.0
76561198070730863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
76561198071157275,,,561.0,,,470.0,,,,,14032.0,9.0,1.0,149.0,,3276.0,,,,,,,4741.0,128342.0,4666.0,532.0,37.0,31.0,60.0,3.0,76.0,17.0,54.0,18.0,9.0,179.0,,278.0,6168.0,210.0,115.0,998.0,38.0,2976.0,41.0,384.0,46.0,74.0,61.0,76.0,43935.66015625,,,,,,,,,,,,46585.10546875,48311.32421875,14.0,20.0,8.0,3.0,11.0,6.0,165.0,686.0,,,14.0,8.0,,6066.0,,,,,,62334.0,,,239335.0,496.0,217.0,31996.0,101701.0,217.0,,1252.0,,,21108.27734375,2367.0,,17.0,42.0,10.0,21.0,103.0,15.0,30.0,14.0,22090.0,63.0,,,10.0,,2102.0,1856.8829345703125,2.0,,561.889892578125,,1374.0,109.0,258.0,12.0,83.0,,4940.0,1080.0,11671.2294921875,,,,111.0,29.0,23.0
76561198071260549,,,18929.0,,,17445.0,,,,,227856.0,162.0,,1187.0,,67955.0,,,,,,,27898.0,854344.0,23583.0,3259.0,143.0,97.0,207.0,2.0,399.0,16.0,1096.0,40.0,73.0,3291.0,,899.0,46706.0,259.0,101.0,5556.0,21.0,12694.0,11.0,9550.0,229.0,24.0,8.0,142.0,569051.125,1.0,,,,,,,,,,,706366.25,752026.4375,14.0,132.0,9.0,2.0,369.0,6.0,1383.0,2967.0,1.0,,337.0,112.0,,8170.0,,,,,,55154.0,,,31956.0,9913.0,2597.0,743829.0,460787.0,2523.0,9.0,253811.0,245.0,,27898.12890625,7962.0,,40.0,33.0,8.0,,1332.0,270.0,13.0,33.0,98717.0,260.0,,,766.0,,20559.0,2800.21533203125,62.0,234.0,16424.568359375,,5244.0,1099.0,1265.0,,944.0,,35600.0,16359.0,256731.09375,29.0,,,459.0,65.0,26.0
